"GamesMeter id","titel","jaar","alternatieve titel","platform","stem","geplaatst"
"7045","'Splosion Man","2009","","Xbox 360","3.5","2009-12-07 16:49:40"
"702","7th Guest, The","1993","7th Guest for Windows 95","PC","2.5","2007-10-29 15:47:55"
"16984","80's Overdrive","2017","","Xbox One","2.5","2022-12-13 11:12:56"
"16213","Aaero","2017","Aaero: Complete Edition","Xbox One","3.5","2019-12-20 18:26:19"
"14791","Active Soccer 2","2015","Active Soccer 2 DX","Xbox One","3","2016-04-06 18:30:48"
"4298","Addams Family, The","1992","","Commodore Amiga","2.5","2008-09-09 20:10:58"
"3086","Addiction Pinball","1998","","PC","4","2007-11-04 18:23:36"
"17422","Adventures of Elena Temple, The","2018","","Xbox Series X/S","3","2024-08-27 07:56:17"
"6109","Adventures of Lomax, The","1996","Lomax","PlayStation","4","2022-08-26 12:18:44"
"9935","Adventures of Tintin: The Game, The","2011","The Adventures of Tintin: The Secret of the Unicorn","Xbox 360","3","2020-04-05 16:20:15"
"16882","AER: Memories of Old","2017","","Xbox One","2.5","2023-12-18 14:51:50"
"1507","After Burner II","1987","After Burner","Commodore Amiga","2.5","2007-10-29 15:32:49"
"24843","Agent Intercept","2019","","Xbox Series X/S","4","2024-02-13 11:46:07"
"3139","Agony","1992","","Commodore Amiga","3.5","2007-11-16 00:37:22"
"609","Alan Wake","2010","Alan Wake: Remastered","Xbox 360","4.5","2010-10-01 16:02:42"
"10814","Alan Wake: The Signal","2010","","Xbox 360","3.5","2016-04-08 17:11:35"
"10812","Alan Wake: The Writer","2010","","Xbox 360","3.5","2016-04-08 17:11:52"
"1060","Alien Breed","1991","","Commodore Amiga","3.5","2007-11-05 20:04:38"
"5901","Alien Breed (Special Edition 92)","1992","","Commodore Amiga","3.5","2008-09-11 19:23:53"
"5897","Alien Breed 3D","1995","","Commodore Amiga","3.5","2008-09-11 17:11:26"
"5913","Alien Breed 3D II: The Killing Grounds","1996","","Commodore Amiga","2.5","2008-09-12 17:10:27"
"5896","Alien Breed II: The Horror Continues","1993","","Commodore Amiga","3.5","2008-09-11 17:10:18"
"5895","Alien Breed: Tower Assault","1994","","Commodore Amiga","4","2008-09-11 17:09:32"
"7407","Alien³","1992","Alien 3","Commodore Amiga","2.5","2010-12-15 13:51:36"
"19048","Alto's Adventure","2015","","Apple iOS","3","2019-07-29 23:30:23"
